,Compound,Date,Negative,Neutral,Positive,Tweet,Tweets Ago,User
503,0.0,Fri Dec 15 01:17:01 +0000 2017,1.0,0.0,0.0,The FCC voted to repeal Obama-era net neutrality rules. Here’s what you need to know. https://t.co/HDvU028tkI,4,@nytimes
504,-0.3818,Fri Dec 15 01:02:06 +0000 2017,0.874,0.126,0.0,"In a blow to workers, the National Labor Relations Board reversed an Obama-era ruling that helped unions fight hote… https://t.co/HxO8b5fiMf",5,@nytimes
505,-0.0772,Fri Dec 15 00:47:02 +0000 2017,0.894,0.106,0.0,"RT @jennyschuessler: 'Youthquake’ Is Oxford’s Word of the Year. Sorry, Broflake. https://t.co/v0vjGrF7A8",6,@nytimes
506,-0.2732,Fri Dec 15 00:32:04 +0000 2017,0.701,0.151,0.148,The share of the world's income going to the top 1 percent has shrunk since the financial crisis. Here's why that m… https://t.co/mKSxGbtB2k,7,@nytimes
507,0.7351,Fri Dec 15 00:17:03 +0000 2017,0.708,0.0,0.292,"The Disney-Fox deal needs U.S. approval but has friends in high places, our columnist @JamesStewartNYT writes https://t.co/mJXzWeA0NF",8,@nytimes
508,0.0,Fri Dec 15 00:02:04 +0000 2017,1.0,0.0,0.0,Evening Briefing: Here's what you need to know at the end of the day https://t.co/0O1YWE1F4m,9,@nytimes
509,0.0,Thu Dec 14 23:45:05 +0000 2017,1.0,0.0,0.0,"An Alabama sheriff's activities raise questions about the broad powers given to these officers, emboldened in the e… https://t.co/I9FYzUn5Zj",10,@nytimes
510,0.0,Thu Dec 14 23:36:37 +0000 2017,1.0,0.0,0.0,"RT @nytopinion: We asked @nytopinion columnists to give each other reading recommendations. Here’s what @PaulKrugman, @MaureenDowd, @NickKr…",11,@nytimes
511,-0.7579,Thu Dec 14 23:17:03 +0000 2017,0.595,0.305,0.1,"Doctors have found a new way to treat heart arrhythmias leading to sudden death, a leading killer in the U.S. https://t.co/PVGb673wQ6",12,@nytimes
512,0.0,Thu Dec 14 23:01:47 +0000 2017,1.0,0.0,0.0,"From secret baby to warrior to general, how Princess Leia became one of the most iconic characters in ""Star Wars""… https://t.co/NzpcxXDivp",13,@nytimes
513,-0.8126,Thu Dec 14 22:45:15 +0000 2017,0.684,0.316,0.0,These videos include graphic scenes of violence and have sparked outrage over police treatment of black people https://t.co/OnlhCw04E1,14,@nytimes
514,0.1779,Thu Dec 14 22:25:14 +0000 2017,0.788,0.091,0.12,There is no time to linger. That altitude is called the “death zone” for good reason. Climbing Everest is a formida… https://t.co/bO8kppERlg,15,@nytimes
515,0.2263,Thu Dec 14 22:15:05 +0000 2017,0.863,0.0,0.137,"Serve it straight out of the oven, when it's at its puffiest https://t.co/9kF3bSEjj1",16,@nytimes
516,0.0,Thu Dec 14 22:01:05 +0000 2017,1.0,0.0,0.0,RT @nytvideo: Here’s how net neutrality works: https://t.co/leS8Rzr8GV https://t.co/vhRe9W9AnP,17,@nytimes
517,0.0,Thu Dec 14 21:52:40 +0000 2017,1.0,0.0,0.0,"Opinion: ""In his first 10 months in office, Donald J. Trump has told 103 separate untruths, many of them repeatedly… https://t.co/ERRGdTc1YQ",18,@nytimes
518,0.4588,Thu Dec 14 21:45:12 +0000 2017,0.765,0.0,0.235,"Don’t overlook Ireland’s second city, which is well worth a full weekend of its own https://t.co/FHYw88vw1b",19,@nytimes
519,0.0,Thu Dec 14 21:30:10 +0000 2017,1.0,0.0,0.0,A quick refresher on what happened in the last “Star Wars” movie before you go see the next one… https://t.co/btuHpYBLY0,20,@nytimes
520,-0.4215,Thu Dec 14 21:15:10 +0000 2017,0.761,0.168,0.071,"Kit Harrington is doing things other than being a sad, pensive panda on Game of Thrones https://t.co/wiepeXqz2w",21,@nytimes
521,0.2732,Thu Dec 14 21:07:04 +0000 2017,0.877,0.0,0.123,The surprising result in Alabama gives Democrats a plausible path to take control of the Senate https://t.co/lb9JL3DkYo,22,@nytimes
522,-0.7832,Thu Dec 14 21:00:43 +0000 2017,0.647,0.283,0.071,"It would be fair to argue that the internet was, for the most part, a rancid stew of awful in 2017. But it wasn’t a… https://t.co/RgtJCTHHBr",23,@nytimes
523,0.2732,Thu Dec 14 20:45:10 +0000 2017,0.89,0.0,0.11,"The size of wine glasses in Britain has increased nearly sevenfold over 300 years, a research team found https://t.co/ArYJb3ZxQz",24,@nytimes
524,0.0,Thu Dec 14 20:30:30 +0000 2017,1.0,0.0,0.0,"She's a Democrat who sees Trump's behavior as ""just nasty."" But she's counting on him to bolster Wyoming's economy. https://t.co/kyUxCB7Xvk",25,@nytimes
525,0.0,Thu Dec 14 20:15:09 +0000 2017,1.0,0.0,0.0,"Through his dizzying lens, he became a celebrity for his high-altitude stunts. But then, suddenly, his online posts… https://t.co/gfegpRqWI9",26,@nytimes
526,0.0,Thu Dec 14 20:12:26 +0000 2017,1.0,0.0,0.0,RT @dougmillsnyt: .@realDonaldTrump stands next to a stack of papers after announcing “We will get rid of the redundancy and duplication th…,27,@nytimes
527,-0.743,Thu Dec 14 20:00:20 +0000 2017,0.704,0.296,0.0,Thousands of the Interior Department’s employees reported that they had experienced harassment or intimidation at w… https://t.co/dPGzxt6OVa,28,@nytimes
528,0.6369,Thu Dec 14 19:50:11 +0000 2017,0.543,0.0,0.457,The best dance of 2017 https://t.co/OLWuedRBFA,29,@nytimes
529,-0.1901,Thu Dec 14 19:40:15 +0000 2017,0.92,0.08,0.0,She strikes a small but noticeable figure in her red coat and beret bearing lights and the words “Let’s Get Lit”… https://t.co/RbGdy4SSqq,30,@nytimes
530,0.0,Thu Dec 14 19:30:06 +0000 2017,1.0,0.0,0.0,"The $150,000 was earmarked to feed inmates. Instead, this sheriff used it to invest in a get-rich-quick scheme. https://t.co/VaqngdpSyU",31,@nytimes
531,0.2023,Thu Dec 14 19:22:05 +0000 2017,0.794,0.087,0.119,"From “Game of Thrones” to “This Is Us,” The Times’s TV critics each pick some of their favorite hours and half-hours https://t.co/h1Dw6Fy64a",32,@nytimes
532,0.0,Thu Dec 14 19:15:11 +0000 2017,1.0,0.0,0.0,"Extreme weather left its mark across the planet in 2016, the hottest year in recorded history https://t.co/1NNVXNvhq3",33,@nytimes
533,-0.5574,Thu Dec 14 19:08:05 +0000 2017,0.833,0.167,0.0,"Read our spoiler-free guide to all things ""Star Wars: The Last Jedi."" Or don't. We're not your father. https://t.co/TJqo3ARbTa",34,@nytimes
534,0.0,Thu Dec 14 19:00:33 +0000 2017,1.0,0.0,0.0,Visit the New York City that could have been in this mixed reality 360 video https://t.co/oyixpyl2To #Daily360,35,@nytimes
535,0.0,Thu Dec 14 18:51:27 +0000 2017,1.0,0.0,0.0,How the net neutrality repeal could affect you https://t.co/FlkicMzUip https://t.co/awJQPRFCk1,36,@nytimes
536,0.2732,Thu Dec 14 18:45:19 +0000 2017,0.89,0.0,0.11,Casualties from land mines and improvised explosives increased to the highest level since a treaty banning such wea… https://t.co/KhuVO8FIcr,37,@nytimes
537,0.0,Thu Dec 14 18:41:31 +0000 2017,1.0,0.0,0.0,"""The internet doesn’t have to be a corporate playground. That’s just the path we’ve chosen."" https://t.co/PAO6fiPs81",38,@nytimes
538,0.5994,Thu Dec 14 18:35:06 +0000 2017,0.83,0.0,0.17,"The filmmaker Morgan Spurlock, known for ""Super Size Me"" and other films, revealed his own episodes of sexual misco… https://t.co/tF36o1m96C",39,@nytimes
539,0.0772,Thu Dec 14 18:22:03 +0000 2017,0.783,0.101,0.115,"The federal government will also no longer regulate high-speed internet delivery as if it were a utility, like phone services",40,@nytimes
540,0.0,Thu Dec 14 18:17:03 +0000 2017,1.0,0.0,0.0,"Breaking News: The FCC has scrapped net neutrality rules. Internet providers will have more power over the web, all… https://t.co/ouePJKop6V",41,@nytimes
541,0.5478,Thu Dec 14 18:15:15 +0000 2017,0.527,0.197,0.276,"No matter how rich in love they may be, most Haitians can’t pay for a funeral. The members of this burial team help… https://t.co/PCgYLUbgUP",42,@nytimes
542,0.0,Thu Dec 14 18:00:29 +0000 2017,1.0,0.0,0.0,"Orchestral horns blare! “Star Wars.” Opening crawl. But wait, what happened in “The Force Awakens” again?… https://t.co/giVhZf8opi",43,@nytimes
543,-0.4588,Thu Dec 14 17:51:04 +0000 2017,0.672,0.248,0.08,"As Republicans prepared to roll out the $1.5 trillion tax plan, uncertainty loomed over how to pay for last-minute… https://t.co/tMpM4mPiD4",44,@nytimes
544,-0.1761,Thu Dec 14 17:45:13 +0000 2017,0.685,0.19,0.126,"""We work really hard to be resilient and strong. And I think it’s O.K. to recognize that we’re still grieving, and… https://t.co/PItWwJNlKf",45,@nytimes
545,-0.7845,Thu Dec 14 17:30:20 +0000 2017,0.753,0.247,0.0,The executive did not know that the woman he was speaking to was one of several who had accused Masterson of rape https://t.co/PWTuiDTdTf,46,@nytimes
546,-0.4215,Thu Dec 14 17:25:17 +0000 2017,0.887,0.113,0.0,"Opinion: ""We don’t know what exactly Omarosa did at the White House, but we do know the No. 1 skill she brought to… https://t.co/85Sq8gSxk4",47,@nytimes
547,0.0,Thu Dec 14 17:15:12 +0000 2017,1.0,0.0,0.0,The season finale of “Mr. Robot” was thick with reveals and reconciliations https://t.co/WW3vx9RFOF,48,@nytimes
548,-0.7096,Thu Dec 14 17:00:30 +0000 2017,0.763,0.237,0.0,"""There's no state in America where black people recognize the horrors of turning back the clock more than the State… https://t.co/CBNVd07Ww0",49,@nytimes
549,0.0,Thu Dec 14 16:52:03 +0000 2017,1.0,0.0,0.0,RT @fmanjoo: Nevertheless she persisted https://t.co/kyql9Py8lc,50,@nytimes
550,0.4939,Thu Dec 14 16:45:10 +0000 2017,0.789,0.0,0.211,"For a while, Rupert Murdoch seemed invincible. Now the buyer has become a seller. https://t.co/M3uLGlVYG2",51,@nytimes
551,-0.5423,Thu Dec 14 16:39:57 +0000 2017,0.788,0.212,0.0,"The Texas Republican settled a lurid sexual harassment claim with $84,000 of taxpayer money. https://t.co/R0Pm9L9run",52,@nytimes
552,-0.8074,Thu Dec 14 16:37:08 +0000 2017,0.711,0.289,0.0,"RT @kerrimac: “They spent their lives in misery, they died in misery.” Our latest Instagram Story on https://t.co/SKJsd8KAHk is a condensed…",53,@nytimes
553,0.6369,Thu Dec 14 16:33:16 +0000 2017,0.826,0.0,0.174,"Best known for heading the team that produced The Times’s “innovation report” in 2014, A. G. Sulzberger will be the… https://t.co/mMjKI1B00T",54,@nytimes
554,0.6124,Thu Dec 14 16:27:56 +0000 2017,0.783,0.0,0.217,"Breaking News: A.G. Sulzberger, 37, will succeed his father as New York Times publisher, the company’s top job. He… https://t.co/oWaQpmv2WE",55,@nytimes
555,0.0,Thu Dec 14 16:22:14 +0000 2017,1.0,0.0,0.0,"RT @nytgraphics: Here's what we know about the final tax bill, and how it would affect families, homeowners, businesses and more. https://t…",56,@nytimes
556,0.0,Thu Dec 14 16:15:12 +0000 2017,1.0,0.0,0.0,"RT @nytmedia: “This Is Us,” “Homeland,” “Star Wars”: This is what Disney is getting from its takeover of Fox https://t.co/jAKRec6Bh7",57,@nytimes
557,-0.3164,Thu Dec 14 16:09:08 +0000 2017,0.562,0.243,0.195,"RT @arappeport: Promises, promises? Activists tell Susan Collins she's being duped on tax deals. ""They're lying to you!""  https://t.co/VXdd…",58,@nytimes
558,0.0,Thu Dec 14 16:00:31 +0000 2017,1.0,0.0,0.0,~* iT's ThE eNd Of An ErA *~ https://t.co/OzBNAPkhIn,59,@nytimes
559,0.25,Thu Dec 14 15:50:10 +0000 2017,0.913,0.0,0.087,"RT @nytopinion: Lindy West writes: ""It is with 100 percent professional certainty that I must inform you our president, Donald Trump, is a…",60,@nytimes
560,0.204,Thu Dec 14 15:40:17 +0000 2017,0.656,0.135,0.209,The sight of evangelical voters in Alabama giving their support to Roy Moore has deeply troubled many conservative… https://t.co/EBLjk0jkEi,61,@nytimes
561,0.0258,Thu Dec 14 15:30:19 +0000 2017,0.787,0.105,0.109,"RT @DLeonhardt: After we published a list of Trump's lies this summer, some of his supporters asked us to compare Trump to other presidents…",62,@nytimes
562,-0.4404,Thu Dec 14 15:25:06 +0000 2017,0.879,0.121,0.0,"The leader of the FCC has dismissed criticism that by pushing the net neutrality repeal, he was doing the bidding o… https://t.co/EoDq9oGGFj",63,@nytimes
563,0.0,Thu Dec 14 15:23:00 +0000 2017,1.0,0.0,0.0,Almost 600 readers wrote to us about what Jerusalem means to them. Here are some of the most evocative responses: https://t.co/LRplXaPG8q,64,@nytimes
564,0.4939,Thu Dec 14 15:20:15 +0000 2017,0.856,0.0,0.144,"""Their bravery changed the world,"" Samantha Bee said of the women who came forward against Roy Moore. Late-night ro… https://t.co/yTjUpDiViD",65,@nytimes
565,0.2023,Thu Dec 14 15:16:07 +0000 2017,0.909,0.0,0.091,"RT @amychozick: This is Rupert Murdoch’s King Lear moment, dividing up his spoils and throwing succession into question. https://t.co/ZgaxU…",66,@nytimes
566,-0.6705,Thu Dec 14 15:10:11 +0000 2017,0.809,0.191,0.0,"Police killed a 69-year-old Bronx man in his apartment. Now, questions have emerged and the family is asking why de… https://t.co/MnyRo6v7C7",67,@nytimes
567,0.0,Thu Dec 14 15:00:41 +0000 2017,1.0,0.0,0.0,Morning Briefing: Here's what you need to know to start your day https://t.co/fyCmqmKRrf https://t.co/e17PJ6oOic,68,@nytimes
568,0.4404,Thu Dec 14 14:50:04 +0000 2017,0.828,0.0,0.172,Opinion: Net neutrality is called the First Amendment of the internet for a good reason https://t.co/Y6YGl88HyS,69,@nytimes
569,0.0,Thu Dec 14 14:39:04 +0000 2017,1.0,0.0,0.0,What Disney is getting from Fox https://t.co/bYwG6fINi8,70,@nytimes
570,0.0,Thu Dec 14 14:31:54 +0000 2017,1.0,0.0,0.0,"RT @NYTArchives: Gunman massacres 20 children at Sandy Hook Elementary School, 5 years ago today. https://t.co/zWeSMzLY2e https://t.co/HpcI…",71,@nytimes
571,0.0,Thu Dec 14 14:29:14 +0000 2017,1.0,0.0,0.0,"""How old would Ben be?""

""Eleven."" Ben Wheeler would be a sixth-grader now. https://t.co/DvVcuVXgxA",72,@nytimes
572,0.1531,Thu Dec 14 14:20:05 +0000 2017,0.515,0.221,0.265,The biggest tech failures and successes of 2017 https://t.co/Bb00Y76W5T,73,@nytimes
573,0.0,Thu Dec 14 14:11:04 +0000 2017,1.0,0.0,0.0,Opinion: The politics of #HimToo https://t.co/6Kan9DNd5g,74,@nytimes
574,0.0,Thu Dec 14 14:00:11 +0000 2017,1.0,0.0,0.0,Leaders and officials of Muslim nations declared East Jerusalem the Palestinian capital https://t.co/DjADxm5FxM,75,@nytimes
575,-0.7096,Thu Dec 14 13:48:05 +0000 2017,0.763,0.237,0.0,"""There's no state in America where black people recognize the horrors of turning back the clock more than the State… https://t.co/6ci732RLfH",76,@nytimes
576,0.0,Thu Dec 14 13:40:10 +0000 2017,1.0,0.0,0.0,What Republicans think about climate change — in maps https://t.co/OJSoujBTRE,77,@nytimes
577,0.0,Thu Dec 14 13:30:14 +0000 2017,1.0,0.0,0.0,"How the tide turned against Roy Moore in Alabama
https://t.co/BpF1AIhPlG",78,@nytimes
578,-0.4588,Thu Dec 14 13:20:06 +0000 2017,0.769,0.231,0.0,"Bermuda banned same-sex marriage, just months after a court legalized it https://t.co/Br1HGDkqbz",79,@nytimes
579,0.0,Thu Dec 14 13:00:26 +0000 2017,1.0,0.0,0.0,Morning Briefing: Here's what you need to know to start your day https://t.co/Lzb3pHsgY3 https://t.co/HvzKkyERBM,80,@nytimes
580,-0.8885,Thu Dec 14 12:50:04 +0000 2017,0.488,0.512,0.0,"Representative Dan Johnson, accused of molesting a 17-year-old girl, killed himself on Wednesday https://t.co/7sWe2OPXbr",81,@nytimes
581,0.5423,Thu Dec 14 12:40:00 +0000 2017,0.8,0.0,0.2,"Disney now has enough muscle to become a true competitor to Netflix, Apple, Amazon, Google and Facebook in the fast… https://t.co/lixVLuHxq7",82,@nytimes
582,-0.25,Thu Dec 14 12:31:10 +0000 2017,0.739,0.152,0.109,"The Alabama election was a measure of the deep divide among women over personal issues like sexual harassment, reli… https://t.co/QbCGzExzfU",83,@nytimes
583,-0.6808,Thu Dec 14 12:21:05 +0000 2017,0.805,0.195,0.0,"“I didn’t sing for almost a year.” —Tina Baker, a performer who said Russell Simmons raped her in his apartment in… https://t.co/FKqp3kcDqK",84,@nytimes
584,0.0,Thu Dec 14 12:12:43 +0000 2017,1.0,0.0,0.0,"Breaking News: The Walt Disney Company is buying most of Rupert Murdoch’s 21st Century Fox, a $52.4 billion deal li… https://t.co/55YtYOYAVE",85,@nytimes
585,0.3612,Thu Dec 14 12:10:07 +0000 2017,0.815,0.0,0.185,What would the modern internet look like without net neutrality rules? https://t.co/HfxtoXQUzI,86,@nytimes
586,0.0,Thu Dec 14 11:56:06 +0000 2017,1.0,0.0,0.0,12/14 https://t.co/Mp2ckDtFS9,87,@nytimes
587,0.0,Thu Dec 14 11:50:08 +0000 2017,1.0,0.0,0.0,"The biggest tech companies, such as Facebook and Google, have taken a back seat in the debate about protecting net… https://t.co/WOORYNQ0ZM",88,@nytimes
588,0.0,Thu Dec 14 11:40:06 +0000 2017,1.0,0.0,0.0,"Facebook says there's little evidence of a Russian effort to influence the ""Brexit"" vote. A British minister is not… https://t.co/vT9CChtvFP",89,@nytimes
589,0.0,Thu Dec 14 11:30:09 +0000 2017,1.0,0.0,0.0,Morning Briefing: Here's what you need to know to start your day https://t.co/dM34E1OHKU https://t.co/Sk9LwPgsRF,90,@nytimes
590,0.0,Thu Dec 14 11:15:06 +0000 2017,1.0,0.0,0.0,"When an astronaut took nighttime pictures of Europe this year, one nation stood out: Belgium https://t.co/JrcbMwvMox",91,@nytimes
591,0.0,Thu Dec 14 11:00:09 +0000 2017,1.0,0.0,0.0,Leaders and officials of Muslim nations declared East Jerusalem the Palestinian capital https://t.co/QbWsnlrP61,92,@nytimes
592,-0.8225,Thu Dec 14 10:44:09 +0000 2017,0.61,0.39,0.0,A video showing a shark being dragged behind a speedboat led to the arrest of 3 men on charges of animal cruelty https://t.co/I7JE1BabEn,93,@nytimes
593,-0.3182,Thu Dec 14 10:33:41 +0000 2017,0.901,0.099,0.0,"RT @NeilMacFarquhar: #Putin: US accusations of Russian meddling is ""hysteria,"" not least given the tiny numbers and small footprint of RT n…",94,@nytimes
594,0.4767,Thu Dec 14 10:31:07 +0000 2017,0.73,0.069,0.202,"One rebel Conservative lawmaker tweeted that she had ""put the interests of everyone in the U.K. before party loyalt… https://t.co/bA1N9c8bfM",95,@nytimes
595,0.7506,Thu Dec 14 10:14:04 +0000 2017,0.738,0.0,0.262,"Trump has often told supporters that under his presidency ""we will be saying Merry Christmas again."" But most Ameri… https://t.co/c25QJCkryi",96,@nytimes
596,-0.2263,Thu Dec 14 10:00:04 +0000 2017,0.917,0.083,0.0,"RT @nytimesworld: “It’s as if life has stopped in its tracks."" A rare firsthand account of decimation in Rakhine State in Myanmar. https://…",97,@nytimes
